municipality_clean,permit_count,simpson_index,shannon_index,foreign_born_pct,mean_income_sek,rental_share,owner_share,total_population,total_dwellings,permits_per_1000_pop,permits_per_1000_dwellings
Staffanstorp,13,0.2652138968895159,0.4352884388289159,0.1573733058338244,335768.6947554508,0.2283071901350983,0.7716928098649016,27152.0,11029.0,0.47878609310548026,1.178710671865083
Stenungsund,8,0.2059147934727427,0.3599712967722562,0.1165386547986505,319080.2957433063,0.2830647868412219,0.7169352131587781,27862.0,11916.0,0.2871294235876821,0.671366230278617
Stockholm,148,0.3869803550213195,0.5754303643101749,0.2622820526562198,362387.40311625646,0.4269049185403041,0.5730931465500562,988943.0,516820.0,0.14965473237588012,0.28636662667853413
Storfors,1,0.249760496569638,0.4161969582929184,0.1462772954485661,202530.1499605367,0.3048552754435106,0.6951447245564892,3801.0,2142.0,0.26308866087871613,0.4668534080298786
Storuman,2,0.1713747791981812,0.3131551086807222,0.0946450809464508,214008.96637608967,0.2737886748394629,0.7250437828371279,5621.0,3426.0,0.3558085749866572,0.5837711617046117
Strängnäs,13,0.2784567671412252,0.4513804950528834,0.1671762982758177,281110.6714289385,0.3757536951069847,0.6241929459473881,38917.0,18741.0,0.3340442480150063,0.6936662931540473
Strömstad,9,0.4064195543129298,0.5964042579776851,0.2836895221133867,279491.5553576729,0.3801500778705932,0.6198499221294068,13476.0,7063.0,0.6678539626001782,1.2742460710746142
Strömsund,6,0.2063157406856419,0.3605006438134807,0.1168001439755241,194747.7278862593,0.308950762938493,0.6902627025326412,11113.0,6357.0,0.5399082156033475,0.9438414346389807
Sundbyberg,8,0.4454493812313161,0.6375586347383246,0.3348476176849335,354987.6234082129,0.4688407336590893,0.5277954819063806,55912.0,28242.0,0.14308198597796537,0.28326605764464274
Sundsvall,44,0.2091809086856895,0.3642746050842151,0.1186739640974469,268346.25401913055,0.3248156207275038,0.6751843792724962,99213.0,51931.0,0.44349026841240563,0.8472781190425758
Sunne,3,0.1941333811467605,0.3442789243802805,0.108933113871016,224517.0881340716,0.286970308446238,0.713029691553762,13366.0,6938.0,0.2244500972617088,0.4324012683770539
Surahammar,2,0.3082416224107496,0.4867392662106248,0.1903563519226897,234864.36480773104,0.2546521035598705,0.7453478964401294,9934.0,4944.0,0.20132876988121604,0.4045307443365696
Svalöv,5,0.300279656678539,0.4773951542443845,0.183993399339934,255585.8017051705,0.2866548899951823,0.7133451100048177,14544.0,6227.0,0.3437843784378438,0.8029548739360848
Svedala,17,0.219532369509962,0.3777845713680335,0.1255219429058372,313290.35790370684,0.2277975133214919,0.772202486678508,23470.0,9008.0,0.7243289305496379,1.8872113676731794
Svenljunga,4,0.2682384176430437,0.4389849315471752,0.159587322241844,213700.3903708523,0.2999028182701652,0.7000971817298348,10759.0,5145.0,0.37178176410447067,0.7774538386783285
Säffle,5,0.2442857961275402,0.4093482345589714,0.1424288854839784,199691.73272933185,0.3264737925190655,0.6731630553201792,15011.0,8261.0,0.33308906801678767,0.6052536012589275
